SGI,med_10m,med_20m
B46-36,-0.3545,-0.0535
B46-37,0,0
B46-39,-0.2265,0
B46-42,-0.0455,0
B46-43,-0.839,0
B46-44,0,0
B46-45,-0.4105,-0.2265
B46-46,0,0
B47-01,-0.549,-0.3145
B47-02,0,0
B47-03,-0.3755,0
B47-05,-0.6635,-0.29
B47-13,-0.2005,-0.04
B47-16,-1.182,0
B50-02,0,0
B51-02,-2.6245000000000003,-1.4575
B51-04,-2.4225,-1.349
B51-05,0,0
B51-06,-0.198,-0.0975
B51-08,-2.3395,-1.0525
B51-09,0,0
B51-10,-2.6925,-1.6205
B51-12,-1.9655,-0.9444999999999999
B51-14,-2.175,-1.1735
B52-04,-1.186,-0.5295000000000001
B52-05,0,0
B52-06,0,0
B52-08,-1.4540000000000002,-0.6685000000000001
B52-11,0,0
B52-12,-1.0465,-0.4935
B52-13,-1.1425,-0.525
B52-17,-0.2705,-0.059
B52-20,0,0
B52-21,0,0
B52-25,0,0
B52-26,-2.597,-1.1055000000000001
B52-27,-1.475,-0.693
B52-28,-0.359,0
B52-31,-0.4235,0
B52-33,-1.19,-0.601
B52-36,-2.121,-0.954
B52-37,-2.7845,-1.3995
B52-64,0,0
B52-65,-3.0404999999999998,-1.231
B53-05,-3.8305,-3.4575
B53-06,-0.8945000000000001,-0.1875
B53-10,-1.1230000000000002,-0.448
B53-20,-1.4295,-0.7515000000000001
B53-23,-0.0565,0
B54-01,0,0
B55-02,-1.444,-0.735
B55-05,-0.977,-0.38
B55-09,0,0
B55-13,-1.5735000000000001,0
B55-14,-1.504,-0.9145000000000001
B55-15,-2.984,-1.233
B55-16,0,0
B55-17,-5.3525,-2.694
B55-19,0,0
B55-24,-0.733,-0.296
B55-25,-0.71,0
B55-29,-1.721,-0.559
B55-32,-1.973,-1.1385
B55-33,0,0
B55-34,-4.8565000000000005,-2.249
B56-01,-1.6469999999999998,-0.6895
B56-04,0,0
B56-11,0,0
B56-13,-1.4285,-0.6465000000000001
B56-23,-0.5375000000000001,-0.195
B56-24,-0.499,-0.159
B56-28,0,0
B56-30,0,0
B57-06,-3.8705,-1.7165
B57-08,-5.3580000000000005,-2.6414999999999997
B57-09,-0.2645,0
B57-12,-1.423,-0.635
B57-19,0,0
B57-20,-0.992,-0.5905
B57-21,-1.7195,-0.5015000000000001
B57-23,-2.523,-1.007
B57-24,-4.1655,-1.827
B57-26,0,0
B57-27,0,0
B58-05,-0.905,-0.1835
B58-06,-0.4885,-0.196
B58-07,-1.5125,-0.7184999999999999
B58-10,-0.8394999999999999,-0.3975
B58-11,-0.629,0
B58-13,-1.072,-0.501
B58-15,0,0
B58-16,-1.3675000000000002,-0.741
B58-19,-1.2265000000000001,-0.645
B58-20,-0.068,0
B58-26,-1.6985000000000001,-0.8485
B58-27,-0.243,-0.089
B58-28,-3.762,-2.1710000000000003
B58-30,-0.666,-0.29
B58-31,-1.7205,-0.8825000000000001
