SGI,med_10m,med_20m
B35-10,-0.2525,-0.06
B35-11,-0.6975,-0.233
B36-02,-0.009,-0.005
B36-03,0,0
B36-04,0,0
B36-05,-1.238,-0.449
B36-07,-2.1174999999999997,-0.912
B36-08,0,0
B36-09,0,0
B36-10,0,0
B36-11,-0.0005,-0.0
B36-12,-0.169,-0.059
B36-13,-0.437,-0.175
B36-15,-0.005,-0.002
B36-16,-1.0845,0
B36-18,0,0
B36-19,-0.236,-0.071
B36-20,-0.323,-0.1275
B36-22,-1.891,-0.8274999999999999
B36-23,-0.002,-0.001
B36-24,-0.8194999999999999,-0.336
B36-25,-0.0985,-0.037
B36-27,-1.027,-0.455
B36-28,-0.5475000000000001,-0.229
B36-30,-0.0,-0.0
B36-31,0,0
B36-32,-0.003,-0.002
B36-33,-0.296,-0.1005
B36-35,-0.6395,-0.2605
B36-37,0,0
B36-38,-1.6555,-0.149
B36-39,-0.5585,-0.203
B36-40,-1.5354999999999999,0
B36-41,-2.2039999999999997,-0.865
B36-44,-0.752,-0.3255
B36-46,-0.0,-0.0
B36-47,-0.345,-0.126
B36-50,-0.007,-0.005
B36-51,-1.3900000000000001,0
B36-52,-1.8375,-0.8105
B36-53,0,0
B36-54,-1.4980000000000002,0
B36-56,-0.0685,-0.026
B40-01,0,0
B40-03,-0.1855,-0.061
B40-04,-0.2135,-0.074
B40-05,-0.166,-0.058
B40-10,-0.428,-0.17049999999999998
B40-11,-1.241,0
B40-12,-0.422,-0.0405
B40-13,-1.449,-0.636
B40-15,-0.5805,-0.2375
B40-19,0,0
B40-20,-0.497,0
B41-02,-0.051,-0.015
B41-03,-0.1835,-0.0635
B41-04,-0.106,-0.017
B41-05,0,0
B41-10,-0.233,-0.0915
B41-11,-0.26,0
B41-15,-0.3585,-0.157
B43-01,-0.091,-0.008
B43-02,-0.0755,-0.027
B43-05,0,0
B43-06,0,0
B43-08,0,0
B43-09,0,0
B43-10,-0.024,0
B43-11,0,0
